ID,Nom_C,Nom_L,volvox,volmm3
1,FAL,Precentral_L,28208,28208
2,FAR,Precentral_R,27048,27048
3,F1_2L,Frontal_Sup_2_L,38960,38960
4,F1_2R,Frontal_Sup_2_R,41008,41008
5,F2_2L,Frontal_Mid_2_L,36056,36056
6,F2_2R,Frontal_Mid_2_R,38880,38880
7,F3OPL,Frontal_Inf_Oper_L,8304,8304
8,F3OPR,Frontal_Inf_Oper_R,11192,11192
9,F3TL,Frontal_Inf_Tri_L,20232,20232
10,F3TR,Frontal_Inf_Tri_R,17208,17208
11,F3O_2L,Frontal_Inf_Orb_2_L,6512,6512
12,F3O_2R,Frontal_Inf_Orb_2_R,6992,6992
13,ORL,Rolandic_Oper_L,7904,7904
14,ORR,Rolandic_Oper_R,10648,10648
15,SMAL,Supp_Motor_Area_L,17176,17176
16,SMAR,Supp_Motor_Area_R,18968,18968
17,COBL,Olfactory_L,2449,2449
18,COBR,Olfactory_R,2283,2283
19,FML,Frontal_Sup_Medial_L,23936,23936
20,FMR,Frontal_Sup_Medial_R,17072,17072
21,FMOL,Frontal_Med_Orb_L,5752,5752
22,FMOR,Frontal_Med_Orb_R,6848,6848
23,GRL,Rectus_L,6816,6816
24,GRR,Rectus_R,5960,5960
25,OFCMEDL,OFCmed_L,4400,4400
26,OFCMEDR,OFCmed_R,4968,4968
27,OFCANTL,OFCant_L,3544,3544
28,OFCANTR,OFCant_R,5184,5184
29,OFCPOSTL,OFCpost_L,4536,4536
30,OFCPOSTR,OFCpost_R,4488,4488
31,OFCLATL,OFClat_L,1576,1576
32,OFCLATR,OFClat_R,1504,1504
33,INL,Insula_L,14864,14864
34,INR,Insula_R,14160,14160
37,CINML,Cingulate_Mid_L,15528,15528
38,CINMR,Cingulate_Mid_R,17624,17624
39,CIPL,Cingulate_Post_L,3704,3704
40,CIPR,Cingulate_Post_R,2680,2680
41,HIPPOL,Hippocampus_L,7456,7456
42,HIPPOR,Hippocampus_R,7568,7568
43,PARA_HIPPOL,ParaHippocampal_L,7824,7824
